,緯度,經度,時間
0,22.9983,120.2107,2018-01-03 14:23:48
1,22.9975,120.2104,2018-01-03 14:24:48
2,22.9971,120.2116,2018-01-03 14:25:18
3,22.9946,120.2118,2018-01-03 14:25:48
4,22.9942,120.2131,2018-01-03 14:26:18
5,22.9925,120.2162,2018-01-03 14:26:48
6,22.9923,120.218,2018-01-03 14:27:18
7,22.992,120.2214,2018-01-03 14:27:48
8,22.9913,120.2236,2018-01-03 14:28:18
9,22.9911,120.2242,2018-01-03 14:29:18
10,22.9907,120.2257,2018-01-03 14:29:48
11,22.9901,120.2274,2018-01-03 14:30:18
12,22.988,120.2272,2018-01-03 14:30:49
13,22.9861,120.2276,2018-01-03 14:31:49
14,22.9874,120.2305,2018-01-03 14:32:19
15,22.988,120.2317,2018-01-03 14:33:19
16,22.9866,120.2324,2018-01-03 14:33:49
17,22.9868,120.2344,2018-01-03 14:47:00
18,22.9857,120.2346,2018-01-03 14:48:00
19,22.9847,120.2351,2018-01-03 14:48:30
20,22.9849,120.2361,2018-01-03 14:51:52
21,22.9849,120.2384,2018-01-03 14:52:22
22,22.985,120.2418,2018-01-03 14:53:22
23,22.985,120.2456,2018-01-03 14:53:52
24,22.9862,120.2478,2018-01-03 14:54:52
25,22.9881,120.2478,2018-01-03 14:55:23
26,22.9915,120.2474,2018-01-03 14:57:23
27,22.9907,120.2478,2018-01-03 15:09:34
28,22.9904,120.2463,2018-01-03 15:10:04
29,22.9898,120.2433,2018-01-03 15:10:34
30,22.9891,120.24,2018-01-03 15:11:04
31,22.9888,120.2375,2018-01-03 15:12:04
32,22.9887,120.2339,2018-01-03 15:12:34
33,22.9909,120.2338,2018-01-03 15:13:04
34,22.9942,120.2342,2018-01-03 15:13:34
35,22.9977,120.2346,2018-01-03 15:14:04
36,22.9986,120.2337,2018-01-03 15:16:04
37,22.999,120.2307,2018-01-03 15:16:34
38,23.0002,120.2291,2018-01-03 15:17:04
39,23.0016,120.2283,2018-01-03 15:17:34
40,23.0015,120.2278,2018-01-03 15:20:31
41,23.0024,120.2252,2018-01-03 15:21:31
42,23.0028,120.2225,2018-01-03 15:22:31
43,23.0033,120.2189,2018-01-03 15:23:01
44,23.0019,120.2183,2018-01-03 15:28:07
45,23.0018,120.2186,2018-01-03 15:28:37
46,23.003,120.2187,2018-01-03 15:29:07
47,23.0056,120.2188,2018-01-03 15:29:37
48,23.0069,120.2192,2018-01-03 15:30:07
49,23.0071,120.2198,2018-01-03 15:31:54
50,23.0067,120.2184,2018-01-03 15:32:24
51,23.0052,120.2146,2018-01-03 15:32:54
52,23.0041,120.2136,2018-01-03 15:33:24
53,23.0007,120.2128,2018-01-03 15:33:54
54,23.0001,120.2123,2018-01-03 15:34:24
55,23.0,120.2106,2018-01-03 15:35:25
56,22.9981,120.2104,2018-01-03 15:43:24
57,22.9984,120.2103,2018-01-03 16:10:35
58,22.9988,120.2104,2018-01-03 16:11:06
59,23.0004,120.2106,2018-01-03 16:11:36
60,23.001,120.209,2018-01-03 16:12:06
61,23.0034,120.2102,2018-01-03 16:12:36
62,23.0057,120.2104,2018-01-03 16:13:36
63,23.0085,120.2101,2018-01-03 16:14:06
64,23.0112,120.2094,2018-01-03 16:16:37
65,23.0129,120.2092,2018-01-03 16:17:07
66,23.0149,120.2099,2018-01-03 16:17:37
67,23.0169,120.2098,2018-01-03 16:18:37
68,23.0187,120.2072,2018-01-03 16:19:07
69,23.0213,120.2058,2018-01-03 16:19:37
70,23.0246,120.2054,2018-01-03 16:20:07
71,23.0257,120.2053,2018-01-03 16:21:07
72,23.0264,120.2069,2018-01-03 16:21:37
73,23.0268,120.2082,2018-01-03 16:22:07
74,23.0276,120.2083,2018-01-03 16:23:38
75,23.0281,120.2102,2018-01-03 16:24:08
76,23.0288,120.2136,2018-01-03 16:24:38
77,23.029,120.2139,2018-01-03 16:25:38
78,23.03,120.2134,2018-01-03 16:26:38
79,23.0326,120.2124,2018-01-03 16:36:02
80,23.0358,120.2135,2018-01-03 16:36:32
81,23.0343,120.2155,2018-01-03 16:37:02
82,23.0331,120.2178,2018-01-03 16:38:02
83,23.0351,120.2191,2018-01-03 16:38:32
84,23.038,120.221,2018-01-03 16:39:02
85,23.0419,120.2236,2018-01-03 16:40:03
86,23.0467,120.2243,2018-01-03 16:41:03
87,23.0472,120.2234,2018-01-03 16:41:33
88,23.0451,120.2219,2018-01-03 16:42:03
89,23.0452,120.2221,2018-01-03 16:42:33
90,23.0471,120.2231,2018-01-03 16:43:03
91,23.0501,120.2247,2018-01-03 16:43:33
92,23.05,120.2261,2018-01-03 16:44:03
93,23.0504,120.2254,2018-01-03 16:52:26
94,23.0513,120.2254,2018-01-03 16:52:57
95,23.0545,120.2187,2018-01-03 16:55:26
96,23.0565,120.2186,2018-01-03 16:56:27
97,23.0611,120.2187,2018-01-03 16:56:57
98,23.0633,120.2189,2018-01-03 17:00:59
99,23.0634,120.2201,2018-01-03 17:01:59
100,23.0661,120.2218,2018-01-03 17:02:29
101,23.0689,120.223,2018-01-03 17:02:59
102,23.0699,120.223,2018-01-03 17:03:29
103,23.0717,120.2226,2018-01-03 17:03:59
104,23.0708,120.2218,2018-01-03 17:05:59
105,23.0708,120.2203,2018-01-03 17:06:59
106,23.0701,120.2191,2018-01-03 17:07:29
107,23.0697,120.2167,2018-01-03 17:08:30
108,23.0704,120.2156,2018-01-03 17:10:22
109,23.0709,120.2151,2018-01-03 17:11:52
110,23.0678,120.2147,2018-01-03 17:12:22
111,23.0671,120.2146,2018-01-03 17:12:52
112,23.0637,120.2141,2018-01-03 17:13:22
113,23.061,120.2139,2018-01-03 17:13:52
114,23.058,120.2137,2018-01-03 17:14:52
115,23.0486,120.2113,2018-01-03 17:16:22
116,23.0486,120.2113,2018-01-03 17:16:52
117,23.0469,120.2089,2018-01-03 17:17:22
118,23.0447,120.2058,2018-01-03 17:17:52
119,23.0436,120.2044,2018-01-03 17:18:22
120,23.0425,120.2032,2018-01-03 17:18:52
121,23.04,120.2026,2018-01-03 17:19:52
122,23.037,120.2027,2018-01-03 17:20:22
123,23.0336,120.204,2018-01-03 17:20:53
124,23.0317,120.2043,2018-01-03 17:21:53
125,23.0288,120.2047,2018-01-03 17:22:23
126,23.0254,120.2051,2018-01-03 17:22:53
127,23.0216,120.2057,2018-01-03 17:23:23
128,23.0186,120.2072,2018-01-03 17:23:53
129,23.0177,120.2084,2018-01-03 17:24:53
130,23.0164,120.2102,2018-01-03 17:25:23
131,23.0133,120.2093,2018-01-03 17:26:23
132,23.0109,120.2099,2018-01-03 17:27:23
133,23.0104,120.2106,2018-01-03 17:27:53
134,23.0088,120.2101,2018-01-03 17:28:23
135,23.0054,120.2105,2018-01-03 17:28:53
136,23.0025,120.2096,2018-01-03 17:29:24
137,23.0019,120.2092,2018-01-03 17:30:24
138,23.0012,120.2088,2018-01-03 17:30:54
139,22.9997,120.2083,2018-01-03 17:31:24
140,22.999,120.2104,2018-01-03 17:31:54
141,22.9985,120.2101,2018-01-03 17:32:24
142,22.998,120.2106,2018-01-03 17:52:48
